Term1	Term2	Similarity
biotopo	biologia	2.8
magma	vulcano	3.5
brainstorming	telescopio	0
livello	punteggio	3
centesimo	affare	1.5
partito politico	associazione	2.8
tsunami	mare	3.5
struzzo	frutteto	1
cannella	caramella	2.5
scopa	polvere	3.5
galassia	astronomo	3.8
succo	frappè	3
tapparella	tenda	2.8
criminale	colpevole	3.8
cancro al pancreas	chemioterapia	3
passato	antecedente	3
Nazioni Unite	Parlamento Europeo	2.5
canzone	esecutore	3
pistola	taccuino	0
acetilcolina	iride	1
alfabeto	penna	2
coro	cantante	3.5
legno	coperta	3
soldato	pace	2
inglese	americano	3
lucertola	coccodrillo	3
denaro	contante	3.5
Polpo Paul	polpo	3.8
calendario	vacanza	2
base	sostanza chimica	3
governo	lucertola	0
JPY	riciclaggio di denaro	1
DeepMind	Google DeepMind	4
scacchi	scacco al re	3
sonetto	bellezza	2.8
lavoratore	ufficio	3.5
valuta	scambio	3
poliestere	cotone	2.5
tribunale	giustizia	3.7
coda	retro	4
incidente	libro	1
groppo	vento	3.5
piano	armonia	3.5
sultano	ministero	2
deserto	duna	3.8
moltiplicazione	divisione	3
virus	sangue	2.5
era glaciale	statuto	0
spada	ambiente	1
