Term1	Term2	Id1	Id2	Synonyms1	Synonyms2
biotopo	biologia	bn:03353031n	bn:00010543n	biotopo	biologia	
magma	vulcano	bn:00052703n	bn:00080211n	magma, differenziazione magmatica, Magmatico	vulcano, vulcano attivo, vulcano spento, vulcano dormiente	
brainstorming	telescopio	bn:00012707n	bn:00069738n	brainstorming	telescopio, cannocchiale, telescopi, montatura del telescopio:
livello	punteggio	bn:01182399n	bn:00069750n	livello(videogiochi)	punteggio,punto	
centesimo	affare	bn:02002977n	bn:14459343n	centesimo,cent	affare	
partito politico	associazione	bn:00060834n	bn:00006539n	partito politico, partito, forza politica, movimento politico	associazione, corporazione, categoria, classe	
tsunami	mare	 bn:00078509n	bn:00069946n	maremoto, tsunami, onda anomala	mare, acque, mare interno	
struzzo	frutteto	bn:00059688n	bn:00041967n	struzzo, struthio camelus, struzzo subsahariano	frutteto, piantagione, boschetto	
cannella	caramella	bn:00017431n	bn:00015227n 	cannella, cinnamonum verum, cinnamomo	caramella, caramelle, bonbon	
scopa	polvere	bn:00013352n	 bn:00029192n	scopa, ramazza, granata	polvere, polveri, polverio	
galassia	astronomo	bn:00032476n	bn:00006659n	galassia, nebulosa, rotazione galattica	astronomo, astronoma	
succo	frappè	bn:00048532n	bn:00055009n	succo, succo di frutta, estratto(bevanda)	frappè, frullato,milkshake	
tapparella	tenda	bn:01256008n	bn:00024534n	serranda, tapparella	tenda, cortina, drappeggio	
criminale	colpevole	bn:00023815n	bn:00024341n	criminale, fuorilegge, delinquente	colpevole, reo, responsabile	
cancro al pancreas	chemioterapia	bn:00060358n	bn:00018141n	tumore del pancreas, adenocarcinoma pancreatico	chemioterapia, chemio, chemioterapico	
passato	antecedente	bn:00060927n	bn:00004490n	passato	antecedente, antefatto, precedente	
Nazioni Unite	Parlamento Europeo	bn:00078931n	bn:03855948n	nazioni unite, onu, nu	parlamento europeo, europarlamento	
canzone	esecutore	bn:00072794n	bn:00061564n	canzone, brano, brano musicale, canto	esecutore, artista, interprete	
pistola	taccuino	bn:00042221n	 bn:00058157n	pistola, arma da fuoco, arma corta	taccuino, quaderno, bloc notes	
acetilcolina	iride	bn:00000853n	bn:00047467n	acetilcolina, c7h16no2	iride, iris, pupilla	
alfabeto	penna	bn:00003054n	 bn:00061314n	alfabeto	penna	
coro	cantante	bn:00018665n	bn:14993684n	coro, cori, cappella, cori polifonici	cantante, cantante pop, cantante rock	
legno	coperta	bn:00081492n	bn:08921109n	legno, alburno, legname	coperta(nave), tolda	
soldato	pace	bn:00072698n	bn:00061149n	soldato, armato, militare, milite	pace, studi per la pace	
inglese	americano	bn:00030862n	bn:00003344n	inglese, lingua inglese, anglofonia	americano, inglese americano	
lucertola	coccodrillo	bn:00051655n	bn:00023898n	lucertola, lacertilia, sauria	coccodrillo, crocodylia	
denaro	contante	bn:00055644n	bn:00016448n	denaro, danaro, moneta, soldi	contante, denaro contante, cash	
Polpo Paul	polpo	bn:02158646n	bn:00131452n	polpo paul	polpo, octopus vulgaris, polpo comune	
calendario	vacanza	bn:00014705n	 bn:00044416n	calendario, calendari	giorno festivo, festa, giorno di vacanza	
base	sostanza chimica	bn:00002771n	bn:00018096n	base, alcali, base forte	sostanza chimica, sostanza, prodotto chimico	
governo	lucertola	bn:00001426n	bn:00051655n	governo, amministrazione, governance	lucertola, lacertilia, sauria	
JPY	riciclaggio di denaro	bn:00081896n	bn:00055649n	jpy, yen yen giapponese	riciclaggio di denaro, autoriciclaggio, riciclaggio di denaro sporco	
DeepMind	Google DeepMind	bn:16362897n	bn:16362897n	deepmind, google deepmind	google deepmind, deepmind	
scacchi	scacco al re	bn:00018197n	bn:00017990n	scacchi, partita a scacchi, gioco degli scacchi	scacco al re, scacco	
sonetto	bellezza	bn:00072807n	bn:00009435n	sonetto	bellezza	
lavoratore	ufficio	bn:00081593n	bn:12687797n	lavoratore, lavoratrice	ufficio(locale)	
valuta	scambio	bn:00024507n	bn:03963674n	valuta, circolante, moneta	scambio, scambio commerciale	
poliestere	cotone	bn:00063412n	bn:00023072n	poliestere, terilene	cotone, coltura del cotone, tessuto di cotone	
tribunale	giustizia	bn:00023308n	bn:00048669n	tribunale, organo giurisdizionale, corte di giustizia	giustizia, amministrazione della giustizia, ingiustizia	
coda	retro	bn:00030722n	bn:00007728n	 coda, fine, conclusione, chiusura	retro, rovescio, di dietro	
incidente	libro	bn:00000690n	bn:00012059n	incidente, disgrazia, infortunio	libro, libri	
groppo	vento	bn:00073705n	bn:00002216n	groppo, folata, groppo dei venti	vento, aria, corrente d'aria	
piano	armonia	bn:00035986n	bn:00043029n	piano, pianoforte	armonia	
sultano	ministero	bn:00041348n	bn:00055180n	sultano, sultanati, sultani	ministero, dicastero	
deserto	duna	bn:00026519n	bn:00029124n	deserto, deserti, deserto freddo	duna, duna di sabbia, dune di sabbia	
moltiplicazione	divisione	bn:00056300n	bn:00027919n	moltiplicazione, moltiplica, prodotto	divisione(matematica)	
virus	sangue	bn:00080085n	bn:00011346n	virus, vira, genomi virali	sangue, cellule ematiche, ematico	
era glaciale	statuto	bn:00040575n	bn:00017906n	era glaciale, periodo glaciale	statuto, carta	
spada	ambiente	bn:00011081n	bn:00046665n	spada, acciaro, durlindana	ambiente, spazio, spazio fisico	
